slug,kind,title,titleArabic,year,medium,dimensions,availability,series,image,width,height,aspectRatio,altText
womanhood,painting,Womanhood,,2022,mixed media on wood,120 x 60 cm,sold,zat-2023,artwork/zat-2023/womanhood.webp,700,1400,0.5,"Womanhood, mixed media on wood, by Karim Abd Elmalak, 2022"
arches-i,painting,Arches I,,2022,mixed media on wood,80 x 80 cm,sold,zat-2023,artwork/zat-2023/arches-i.webp,1400,1400,1,"Arches I, mixed media on wood, by Karim Abd Elmalak, 2022"
arches-ii,painting,Arches II,,2022,mixed media on wood,80 x 80 cm,sold,zat-2023,artwork/zat-2023/arches-ii.webp,1400,1400,1,"Arches II, mixed media on wood, by Karim Abd Elmalak, 2022"
hoopoe,painting,Hoopoe,,2022,mixed media on canvas,100 x 70 cm,sold,zat-2023,artwork/zat-2023/hoopoe.webp,1050,1400,0.75,"Hoopoe, mixed media on canvas, by Karim Abd Elmalak, 2022"
the-hourglass,painting,The Hourglass,,2022,mixed media on canvas,100 x 70 cm,available,zat-2023,artwork/zat-2023/the-hourglass.webp,975,1400,0.6964,"The Hourglass, mixed media on canvas, by Karim Abd Elmalak, 2022"
wesal-16,painting,قبلة,قبلة,2021,mixed media on wood,50 x 50 cm,sold,wesal-2025,artwork/wesal-2025/wesal-16.webp,1393,1400,0.995,"قبلة, mixed media on wood, by Karim Abd Elmalak, 2021"
the-third-eye-ii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-ii.webp,812,1200,0.6767,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-iii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-iii.webp,812,1200,0.6767,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-iv,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-iv.webp,827,1200,0.6892,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-ix,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-ix.webp,1198,1200,0.9983,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-v,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-v.webp,795,1200,0.6625,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-vi,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-vi.webp,1200,1195,1.0042,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-vii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-vii.webp,1200,1198,1.0017,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-viii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-viii.webp,1191,1200,0.9925,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-x,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-x.webp,1200,1181,1.0161,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xi,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xi.webp,1200,976,1.2295,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xii.webp,1200,1190,1.0084,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xiii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xiii.webp,1193,1200,0.9942,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xiv,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xiv.webp,624,1200,0.52,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xv,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xv.webp,844,1200,0.7033,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xvi,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xvi.webp,827,1200,0.6892,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xvii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xvii.webp,593,1200,0.4942,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-xviii,painting,Untitled,,2021,,,,the-third-eye-2021,artwork/the-third-eye-2021/the-third-eye-xviii.webp,605,1200,0.5042,Painting by Karim Abd Elmalak from the the third eye series
the-third-eye-i,documentation,The artist with works from the series,,2021,,,,the-third-eye-2021,artwork/documentation/the-third-eye-i.webp,1200,879,1.3652,The artist with works from the series
the-third-eye-xix,documentation,"The artist with a wire sculpture, studio",,2021,,,,the-third-eye-2021,artwork/documentation/the-third-eye-xix.webp,835,1200,0.6958,"The artist with a wire sculpture, studio"
the-third-eye-xx,documentation,The artist with an illuminated sculpture,,2021,,,,the-third-eye-2021,artwork/documentation/the-third-eye-xx.webp,988,1200,0.8233,The artist with an illuminated sculpture
